latitude,longitude,lokasi,titik,tanggal,jam,waktu,cuaca,jenis_burung,nama_ilmiah,jumlah_burung,keterangan,dokumentasi,createdAt,updatedAt,deletedAt
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Blekok Sawah,Ardeola speciosa,10,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Bondol Peking,Lonchura punctulata,4,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Cangak Abu,Ardea cinerea,1,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Cangak Merah,Ardea purpurea,4,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Kokokan Laut,Butorides striatus,1,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Kuntul Kecil,Egretta garzetta,1,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Layang-Layang Batu,Hirundo javanica,3,,,2025-09-04 11:57:00,,
-7.3753,112.7703,Dalam,1,15 July 2025,08:26,Pagi,Cerah,Walet Linchi,Collocalia linchi,3,,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Blekok Sawah,Ardeola speciosa,29,bertengger di plengsengan dan di trompet tidak respon,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Bondol Peking,Lonchura punctulata,2,,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Cangak Abu,Ardea cinerea,25,6 terbang bersamaan sekitar 200-500m,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Cangak Merah,Ardea purpurea,8,,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Dara Laut Biasa,Sterna hirundo,1,warna putih bersih,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Kedidi Golgol,Calidris ferruginea,1,cerek karena bantet agak putih lehernya,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Kokokan Laut,Butorides striatus,1,bertengger di jembatan,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Kuntul Kecil,Egretta garzetta,19,cenderung melewati pesawat,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Kuntul Perak,Egretta intermedia,3,,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Layang-Layang Batu,Hirundo javanica,4,terbang disekitar pond air,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Pecuk Padi Kecil,Microcarbo niger,26,,,2025-09-04 11:57:00,,
-7.3750,112.7786,Dalam,2,15 July 2025,07:48,Pagi,Cerah,Perkutut,Geopelia striata,2,,,2025-09-04 11:57:00,,
-7.3770,112.794,Dalam,3,15 July 2025,07:29,Pagi,Cerah,Bondol Peking,Lonchura punctulata,3,,,2025-09-04 11:57:00,,
-7.3770,112.794,Dalam,3,15 July 2025,07:29,Pagi,Cerah,Dara Laut Biasa,Sterna hirundo,1,"coklat muda, sayap lincip",,2025-09-04 11:57:00,,
-7.3770,112.794,Dalam,3,15 July 2025,07:29,Pagi,Cerah,Layang-Layang Batu,Hirundo javanica,10,,,2025-09-04 11:57:00,,
-7.3770,112.794,Dalam,3,15 July 2025,07:29,Pagi,Cerah,Pecuk Padi Kecil,Microcarbo niger,1,,,2025-09-04 11:57:00,,
-7.3770,112.794,Dalam,3,15 July 2025,07:29,Pagi,Cerah,Walet Linchi,Collocalia linchi,2,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Blekok Sawah,Ardeola speciosa,7,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Bondol Peking,Lonchura punctulata,16,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Burung Gereja,Passer montanus,14,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Cangak Abu,Ardea cinerea,1,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Cangak Merah,Ardea purpurea,4,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Dara Laut Biasa,Sterna hirundo,2,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Kokokan Laut,Butorides striata,3,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Kuntul Kecil,Egretta garzetta,15,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Kuntul Perak,Egretta intermedia,4,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Layang-Layang Batu,Hirundo javanica,21,,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Pecuk Padi Hitam,Phalacrocorax sulcirostris,2,lagi bertengger mata biru,,2025-09-04 11:57:00,,
-7.3786,112.8006,Dalam,4,15 July 2025,07:06,Pagi,Cerah,Pecuk Padi Kecil,Microcarbo niger,5,,,2025-09-04 11:57:00,,
