iter	Logloss
0	0.6551344915
1	0.6296050262
2	0.6129508858
3	0.6073293577
4	0.58375908
5	0.5640697554
6	0.5346994642
7	0.527826098
8	0.5208584411
9	0.4988556531
10	0.4887239097
11	0.4636797311
12	0.4526439519
13	0.440251857
14	0.4386119065
15	0.435835341
16	0.4312310795
17	0.4156460887
18	0.4141652552
19	0.4029855942
20	0.3956310587
21	0.3840722439
22	0.3760886678
23	0.3719123216
24	0.3678451611
25	0.3597911053
26	0.3561863881
27	0.3553182832
28	0.3525352592
29	0.3469534551
30	0.3393072347
31	0.3368197911
32	0.3350698657
33	0.3263111985
34	0.3255450914
35	0.319980556
36	0.3191682828
37	0.3143454062
38	0.3100194208
39	0.307761026
40	0.3038733596
41	0.3025108421
42	0.3006205187
43	0.3000903934
44	0.2982755087
45	0.2974951875
46	0.2935030751
47	0.2919807226
48	0.2910132494
49	0.2879299544
50	0.2849856462
51	0.2845392914
52	0.2842664085
53	0.2814070506
54	0.2809722772
55	0.2798891187
56	0.2781527389
57	0.2771273276
58	0.2764941545
59	0.2757017289
60	0.2755566421
61	0.2732605053
62	0.2721175464
63	0.2703338737
64	0.2701548701
65	0.2678784137
66	0.2672127277
67	0.2670662823
68	0.2668812984
69	0.2667142184
70	0.2666423421
71	0.2663580354
72	0.2648980947
73	0.2648336131
74	0.2634666874
75	0.2616781592
76	0.2594465929
77	0.2582910384
78	0.2582332666
79	0.2578116808
80	0.2559916993
81	0.2559470104
82	0.2555028845
83	0.2549440844
84	0.2548989983
85	0.2536281788
86	0.251596497
87	0.2510901976
88	0.2498127773
89	0.2497405806
90	0.249702996
91	0.2496498187
92	0.2496238635
93	0.2488712145
94	0.2488395521
95	0.2486911619
96	0.2486189223
97	0.2483328473
98	0.2480240601
99	0.2480065916
100	0.2474292985
101	0.2474035622
102	0.2464868974
103	0.2457012836
104	0.2450165428
