iter	Passed	Remaining
0	14	14129
1	26	13008
2	35	11845
3	42	10670
4	53	10553
5	62	10278
6	76	10812
7	85	10623
8	93	10339
9	106	10560
10	116	10495
11	129	10643
12	139	10593
13	150	10615
14	158	10420
15	166	10244
16	175	10170
17	188	10260
18	194	10043
19	205	10092
20	218	10183
21	230	10245
22	240	10229
23	249	10166
24	259	10117
25	271	10167
26	280	10110
27	290	10076
28	299	10016
29	310	10040
30	323	10120
31	333	10094
32	342	10041
33	354	10080
34	363	10031
35	376	10069
36	384	9994
37	396	10031
38	407	10031
39	416	9999
40	428	10028
41	438	10012
42	450	10034
43	459	9979
44	472	10017
45	481	9988
46	495	10050
47	511	10136
48	523	10161
49	539	10247
50	554	10311
51	565	10305
52	574	10256
53	588	10307
54	597	10271
55	610	10289
56	622	10294
57	633	10286
58	645	10293
59	657	10294
60	663	10218
61	675	10221
62	687	10227
63	698	10217
64	707	10172
65	719	10188
66	730	10171
67	739	10136
68	747	10091
69	757	10060
70	764	9997
71	773	9968
72	785	9978
73	792	9910
74	803	9911
75	814	9904
76	827	9919
77	839	9923
78	851	9925
79	865	9954
80	883	10022
81	892	9987
82	902	9974
83	914	9975
84	923	9938
85	938	9974
86	954	10013
87	966	10012
88	980	10034
89	991	10028
90	999	9988
91	1008	9952
92	1016	9910
93	1026	9895
94	1034	9855
95	1044	9838
96	1056	9832
97	1068	9833
98	1081	9847
99	1089	9802
100	1103	9825
101	1111	9787
102	1125	9802
103	1138	9811
104	1151	9816
